STDR_YYQU_CD,행정동코드,행정동명,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_STOR_CO,CLSBIZ_STOR_CO,FRC_STOR_CO,CLSBIZ_RT
20231,11440585,도화동,CS100006,패스트푸드점,7,15,0,0,8,0
20231,11440585,도화동,CS100007,치킨전문점,8,20,1,1,12,5
20231,11440585,도화동,CS100008,분식전문점,26,37,0,0,11,0
20231,11440585,도화동,CS100009,호프-간이주점,69,79,3,4,10,5
20231,11440585,도화동,CS100010,커피-음료,37,60,3,2,23,3
20232,11440585,도화동,CS100001,한식음식점,151,169,6,3,18,2
20232,11440585,도화동,CS100002,중식음식점,17,21,1,0,4,0
20232,11440585,도화동,CS100003,일식음식점,15,22,1,2,7,9
20232,11440585,도화동,CS100004,양식음식점,18,20,0,0,2,0
20232,11440585,도화동,CS100005,제과점,13,22,1,1,9,5
20232,11440585,도화동,CS100006,패스트푸드점,7,15,0,0,8,0
20232,11440585,도화동,CS100007,치킨전문점,7,19,0,1,12,5
20232,11440585,도화동,CS100008,분식전문점,27,38,1,0,11,0
20232,11440585,도화동,CS100009,호프-간이주점,67,77,2,4,10,5
20232,11440585,도화동,CS100010,커피-음료,37,62,4,2,25,3
20233,11440585,도화동,CS100001,한식음식점,151,168,4,5,17,3
20233,11440585,도화동,CS100002,중식음식점,17,21,0,0,4,0
20233,11440585,도화동,CS100003,일식음식점,16,22,1,1,6,5
20233,11440585,도화동,CS100004,양식음식점,18,20,0,0,2,0
20233,11440585,도화동,CS100005,제과점,13,22,0,0,9,0
20233,11440585,도화동,CS100006,패스트푸드점,7,15,1,1,8,7
20233,11440585,도화동,CS100007,치킨전문점,7,19,0,0,12,0
20233,11440585,도화동,CS100008,분식전문점,26,37,0,1,11,3
20233,11440585,도화동,CS100009,호프-간이주점,69,79,3,1,10,1
20233,11440585,도화동,CS100010,커피-음료,38,62,4,4,24,7
20234,11440585,도화동,CS100001,한식음식점,149,167,6,7,18,4
20234,11440585,도화동,CS100002,중식음식점,18,22,2,1,4,5
20234,11440585,도화동,CS100003,일식음식점,16,22,1,1,6,5
20234,11440585,도화동,CS100004,양식음식점,18,20,0,0,2,0
20234,11440585,도화동,CS100005,제과점,13,22,1,1,9,5
20234,11440585,도화동,CS100006,패스트푸드점,7,15,0,0,8,0
20234,11440585,도화동,CS100007,치킨전문점,7,18,0,1,11,6
20234,11440585,도화동,CS100008,분식전문점,27,38,2,1,11,3
20234,11440585,도화동,CS100009,호프-간이주점,69,80,3,2,11,3
20234,11440585,도화동,CS100010,커피-음료,38,62,1,1,24,2
20241,11440585,도화동,CS100001,한식음식점,154,172,8,3,18,2
20241,11440585,도화동,CS100002,중식음식점,18,22,0,0,4,0
20241,11440585,도화동,CS100003,일식음식점,16,22,0,0,6,0
20241,11440585,도화동,CS100004,양식음식점,18,20,0,0,2,0
20241,11440585,도화동,CS100005,제과점,13,22,0,0,9,0
20241,11440585,도화동,CS100006,패스트푸드점,7,15,1,1,8,7
20241,11440585,도화동,CS100007,치킨전문점,7,18,0,0,11,0
20241,11440585,도화동,CS100008,분식전문점,26,35,0,3,9,9
20241,11440585,도화동,CS100009,호프-간이주점,68,79,0,1,11,1
20241,11440585,도화동,CS100010,커피-음료,36,62,2,2,26,3
20242,11440585,도화동,CS100001,한식음식점,158,175,11,8,17,5
20242,11440585,도화동,CS100002,중식음식점,18,22,0,0,4,0
20242,11440585,도화동,CS100003,일식음식점,17,23,1,0,6,0
20242,11440585,도화동,CS100004,양식음식점,19,21,1,0,2,0
20242,11440585,도화동,CS100005,제과점,14,23,1,0,9,0
20242,11440585,도화동,CS100006,패스트푸드점,6,14,0,1,8,7
