quarter,dong_code,dong_name,industry_code,industry_name,monthly_sales,monthly_count
20203,11440565,공덕동,CS100001,한식음식점,8930311915,240887
20203,11440565,공덕동,CS100002,중식음식점,78055088,3578
20203,11440565,공덕동,CS100003,일식음식점,577184336,10539
20203,11440565,공덕동,CS100004,양식음식점,452622261,7865
20203,11440565,공덕동,CS100005,제과점,394955455,19638
20203,11440565,공덕동,CS100006,패스트푸드점,255637144,10046
20203,11440565,공덕동,CS100007,치킨전문점,257869508,8738
20203,11440565,공덕동,CS100008,분식전문점,485765063,47552
20203,11440565,공덕동,CS100009,호프-간이주점,1232264677,27499
20203,11440565,공덕동,CS100010,커피-음료,750186080,142269
20203,11440565,공덕동,CS200001,일반교습학원,175055150,670
20203,11440565,공덕동,CS200002,외국어학원,7531184,24
20203,11440565,공덕동,CS200003,예술학원,40013850,238
20203,11440565,공덕동,CS200005,스포츠 강습,75149115,197
20203,11440565,공덕동,CS200006,일반의원,3890330521,131030
20203,11440565,공덕동,CS200007,치과의원,2157182713,15946
20203,11440565,공덕동,CS200008,한의원,440813933,16558
20203,11440565,공덕동,CS200016,당구장,54282554,3495
20203,11440565,공덕동,CS200019,PC방,53323266,10918
20203,11440565,공덕동,CS200024,스포츠클럽,267372931,382
20203,11440565,공덕동,CS200025,자동차수리,621446466,4280
20203,11440565,공덕동,CS200026,자동차미용,105099777,2524
20203,11440565,공덕동,CS200028,미용실,355210978,11751
20203,11440565,공덕동,CS200030,피부관리실,315434823,590
20203,11440565,공덕동,CS200031,세탁소,31401850,3020
20203,11440565,공덕동,CS200034,여관,5043772,171
20203,11440565,공덕동,CS200037,노래방,68267676,1232
20203,11440565,공덕동,CS300001,슈퍼마켓,2308799947,145963
20203,11440565,공덕동,CS300002,편의점,1904522607,282681
20203,11440565,공덕동,CS300003,컴퓨터및주변장치판매,458250624,445
20203,11440565,공덕동,CS300004,핸드폰,128742552,8339
20203,11440565,공덕동,CS300006,미곡판매,62059424,2279
20203,11440565,공덕동,CS300007,육류판매,950599150,24457
20203,11440565,공덕동,CS300008,수산물판매,806810563,35310
20203,11440565,공덕동,CS300009,청과상,199315921,8107
20203,11440565,공덕동,CS300010,반찬가게,395918380,21067
20203,11440565,공덕동,CS300011,일반의류,140011189,1215
20203,11440565,공덕동,CS300016,안경,27504186,356
20203,11440565,공덕동,CS300017,시계및귀금속,7293717,316
20203,11440565,공덕동,CS300018,의약품,2650282193,188083
20203,11440565,공덕동,CS300021,문구,8441122,510
20203,11440565,공덕동,CS300022,화장품,113863350,1104
20203,11440565,공덕동,CS300024,운동/경기용품,1143741,136
20203,11440565,공덕동,CS300028,화초,64153639,1332
20203,11440565,공덕동,CS300029,애완동물,30107725,969
20203,11440565,공덕동,CS300031,가구,3374259509,4572
20203,11440565,공덕동,CS300033,철물점,38332996,2350
20203,11440565,공덕동,CS300035,인테리어,74074959,576
20203,11440565,공덕동,CS300036,조명용품,297732048,13105
20203,11440565,공덕동,CS300043,전자상거래업,3078173,85
20204,11440565,공덕동,CS100001,한식음식점,8404267703,224083
20204,11440565,공덕동,CS100002,중식음식점,68342282,3169
20204,11440565,공덕동,CS100003,일식음식점,711861791,11132
20204,11440565,공덕동,CS100004,양식음식점,461070570,7138
